batter,Total_Runs,Total_Balls,Fours,Sixes,Innings,Strike_Rate,Avg_per_Match
VR Aaron,42.0,45,2,2,7,93.33,6.0
SK Trivedi,42.0,61,3,1,14,68.85,3.0
AB Barath,42.0,43,5,1,3,97.67,14.0
JDS Neesham,42.0,46,3,1,3,91.3,14.0
Ishan Kishan,42.0,41,5,0,5,102.44,8.4
A Nehra,41.0,63,3,1,17,65.08,2.41
LPC Silva,40.0,27,5,1,3,148.15,13.33
BR Dunk,40.0,36,7,0,3,111.11,13.33
MM Patel,39.0,40,5,0,11,97.5,3.55
DJ Thornely,39.0,54,2,2,4,72.22,9.75
Umar Gul,39.0,19,1,5,4,205.26,9.75
AUK Pathan,39.0,26,5,2,7,150.0,5.57
S Narwal,37.0,29,6,0,4,127.59,9.25
I Sharma,37.0,46,2,1,14,80.43,2.64
NM Coulter-Nile,36.0,37,3,2,7,97.3,5.14
AN Ahmed,36.0,27,4,1,6,133.33,6.0
KW Richardson,36.0,39,2,1,4,92.31,9.0
Sohail Tanvir,36.0,31,3,1,5,116.13,7.2
Joginder Sharma,36.0,30,1,2,5,120.0,7.2
L Balaji,36.0,50,2,1,13,72.0,2.77
B Sumanth,35.0,38,3,0,4,92.11,8.75
A Kumble,35.0,49,3,0,15,71.43,2.33
A Mithun,34.0,26,4,1,6,130.77,5.67
N Rana,34.0,40,0,4,2,85.0,17.0
L Ronchi,34.0,37,6,1,5,91.89,6.8
AP Dole,34.0,23,3,1,2,147.83,17.0
S Sreesanth,34.0,57,6,0,12,59.65,2.83
D Salunkhe,33.0,24,5,0,3,137.5,11.0
RJ Peterson,32.0,32,3,1,5,100.0,6.4
S Sriram,31.0,38,3,0,2,81.58,15.5
T Taibu,31.0,26,3,0,3,119.23,10.33
VH Zol,29.0,26,3,1,2,111.54,14.5
J Syed Mohammad,29.0,27,4,0,5,107.41,5.8
SB Jakati,27.0,28,3,0,4,96.43,6.75
S Aravind,27.0,19,5,0,4,142.11,6.75
JM Kemp,26.0,25,1,1,2,104.0,13.0
NL McCullum,26.0,23,0,1,2,113.04,13.0
S Chanderpaul,25.0,33,4,0,3,75.76,8.33
MA Khote,24.0,22,2,1,3,109.09,8.0
NS Naik,23.0,33,1,0,2,69.7,11.5
J Arunkumar,23.0,24,5,0,3,95.83,7.67
S Nadeem,23.0,57,1,0,12,40.35,1.92
BMAJ Mendis,23.0,27,0,0,3,85.19,7.67
SW Tait,23.0,26,1,1,5,88.46,4.6
MS Wade,22.0,33,0,0,3,66.67,7.33
HM Amla,22.0,30,2,0,3,73.33,7.33
PJ Sangwan,22.0,32,1,0,9,68.75,2.44
GB Hogg,22.0,22,1,0,4,100.0,5.5
DE Bollinger,21.0,23,1,1,4,91.3,5.25
CA Ingram,21.0,26,2,0,3,80.77,7.0
NJ Maddinson,20.0,21,4,0,3,95.24,6.67
RR Raje,20.0,18,1,1,5,111.11,4.0
Harpreet Singh,20.0,26,0,0,3,76.92,6.67
AC Thomas,20.0,19,1,1,4,105.26,5.0
M Muralitharan,20.0,30,1,0,9,66.67,2.22
Y Gnaneswara Rao,19.0,18,3,0,1,105.56,19.0
A Mukund,19.0,23,1,0,2,82.61,9.5
AB Dinda,19.0,42,1,0,15,45.24,1.27
DR Martyn,19.0,26,1,0,1,73.08,19.0
R Shukla,19.0,23,2,0,4,82.61,4.75
R Bishnoi,19.0,17,1,2,3,111.76,6.33
P Sahu,19.0,13,1,1,2,146.15,9.5
DS Lehmann,18.0,19,3,0,2,94.74,9.0
BJ Haddin,18.0,11,2,1,1,163.64,18.0
Anureet Singh,18.0,31,0,1,6,58.06,3.0
JJ van der Wath,18.0,17,1,1,3,105.88,6.0
Harmeet Singh,18.0,12,3,0,4,150.0,4.5
AD Nath,17.0,21,1,0,2,80.95,8.5
Parvez Rasool,17.0,20,1,0,4,85.0,4.25
JO Holder,16.0,13,2,1,2,123.08,8.0
R Tewatia,16.0,13,0,1,1,123.08,16.0
PP Ojha,16.0,45,0,0,19,35.56,0.84
CK Kapugedera,16.0,24,0,0,3,66.67,5.33
VY Mahesh,15.0,28,0,0,5,53.57,3.0
C Madan,15.0,21,3,0,1,71.43,15.0
SA Abbott,15.0,13,1,1,2,115.38,7.5
GR Napier,15.0,16,1,0,1,93.75,15.0
S Gopal,14.0,27,1,0,3,51.85,4.67
MDKJ Perera,14.0,13,3,0,2,107.69,7.0
Sandeep Sharma,14.0,24,1,0,8,58.33,1.75
Imran Tahir,13.0,16,2,0,4,81.25,3.25
DT Patil,13.0,13,1,0,2,100.0,6.5
DAJ Bracewell,12.0,9,1,0,1,133.33,12.0
Karanveer Singh,12.0,17,1,0,4,70.59,3.0
KJ Abbott,12.0,6,0,1,1,200.0,12.0
T Thushara,12.0,19,0,0,4,63.16,3.0
AA Chavan,12.0,11,2,0,3,109.09,4.0
K Upadhyay,12.0,9,0,1,2,133.33,6.0
PV Tambe,11.0,20,0,0,5,55.0,2.2
DNT Zoysa,11.0,9,1,0,2,122.22,5.5
M Ntini,11.0,19,2,0,2,57.89,5.5
T Henderson,11.0,16,0,1,2,68.75,5.5
T Kohli,11.0,20,0,1,3,55.0,3.67
TD Paine,10.0,29,0,0,2,34.48,5.0
AG Murtaza,10.0,14,1,0,3,71.43,3.33
J Theron,10.0,13,1,0,4,76.92,2.5
KAJ Roach,10.0,9,1,0,1,111.11,10.0
Mohammed Shami,10.0,22,0,0,7,45.45,1.43
SMSM Senanayake,10.0,17,0,0,4,58.82,2.5
D du Preez,10.0,13,0,0,1,76.92,10.0
X Thalaivan Sargunam,10.0,17,0,0,1,58.82,10.0
AA Noffke,9.0,12,1,0,1,75.0,9.0
S Kaul,9.0,11,0,0,2,81.82,4.5
JJ Bumrah,9.0,15,1,0,4,60.0,2.25
SM Harwood,9.0,14,0,0,2,64.29,4.5
F Behardien,9.0,7,1,0,1,128.57,9.0
TM Srivastava,8.0,11,0,0,3,72.73,2.67
CK Langeveldt,8.0,9,0,1,2,88.89,4.0
BCJ Cutting,8.0,6,0,1,1,133.33,8.0
CJ McKay,8.0,15,0,0,1,53.33,8.0
Jaskaran Singh,8.0,11,0,0,4,72.73,2.0
VS Malik,7.0,7,1,0,2,100.0,3.5
